Birthday,HeadCoach,Name,Number,Position,Team
1992-12-01,特里-斯托茨,"加里-佩顿二世,(Gary Payton II)",5,G,波特兰开拓者（Portland Trail Blazers）
1996-11-01,特里-斯托茨,"齐纳努-欧努阿库,(Chinanu Onuaku)",21,C,波特兰开拓者（Portland Trail Blazers）
1994-03-07,特里-斯托茨,"杰克-莱曼,(Jake Layman)",10,F,波特兰开拓者（Portland Trail Blazers）
1988-10-04,汤姆-锡伯杜,"德里克-罗斯,(Derrick Rose)",25,G,明尼苏达森林狼（Minnesota Timberwolves）
1998-09-01,汤姆-锡伯杜,"约什-奥科吉,(Josh Okogie)",20,G,明尼苏达森林狼（Minnesota Timberwolves）
1990-07-14,汤姆-锡伯杜,"詹姆斯-农纳利,(James Nunnally)",7,F,明尼苏达森林狼（Minnesota Timberwolves）
1989-09-28,汤姆-锡伯杜,"德莱斯 约翰逊-奥多姆,(Darius Johnson-Odom)",13,G,明尼苏达森林狼（Minnesota Timberwolves）
1995-05-23,汤姆-锡伯杜,"乔纳森-斯塔克,(Jonathan Stark)",6,G,明尼苏达森林狼（Minnesota Timberwolves）
1996-01-23,汤姆-锡伯杜,"凯塔-贝茨-迪奥普,(Keita Bates-Diop)",33,F,明尼苏达森林狼（Minnesota Timberwolves）
1991-08-14,德韦恩-凯西,"雷吉-赫恩,(Reggie Hearn)",37,G,底特律活塞（Detroit Pistons）
1996-08-23,德韦恩-凯西,"基南-埃文斯,(Keenan Evans)",12,G,底特律活塞（Detroit Pistons）
1994-03-28,布拉德-史蒂文斯,"马库斯-乔治-亨特,(Marcus Georges-Hunt)",,G-F,波士顿凯尔特人（Boston Celtics）
1995-08-05,布拉德-史蒂文斯,"尼克-金,(Nicholas King)",55,F,波士顿凯尔特人（Boston Celtics）
1998-04-21,肯尼-阿特金森,"贾莱特-阿伦,(Jarrett Allen)",31,C,布鲁克林篮网（Brooklyn Nets）
1991-07-14,肯尼-阿特金森,"沙巴兹-内皮尔,(Shabazz Napier)",13,G,布鲁克林篮网（Brooklyn Nets）
1994-08-25,肯尼-阿特金森,"卡里斯-勒韦尔,(Caris LeVert)",22,G,布鲁克林篮网（Brooklyn Nets）
1993-04-06,肯尼-阿特金森,"斯潘塞-丁威迪,(Spencer Dinwiddie)",8,G,布鲁克林篮网（Brooklyn Nets）
1999-05-08,肯尼-阿特金森,"扎南-穆萨,(Dzanan Musa)",30,G-F,布鲁克林篮网（Brooklyn Nets）
1998-02-05,肯尼-阿特金森,"罗季翁斯-库鲁茨,(Rodions Kurucs)",00,F,布鲁克林篮网（Brooklyn Nets）
1981-07-16,戴夫-乔尔格,"扎克-兰多夫,(Zach Randolph)",50,F,萨克拉门托国王（Sacramento Kings）
1990-06-26,戴夫-乔尔格,"伊曼-香珀特,(Iman Shumpert)",9,G,萨克拉门托国王（Sacramento Kings）
1988-09-29,史蒂夫-科尔,"凯文-杜兰特,(Kevin Durant)",35,F,金州勇士（Golden State Warriors）
1990-02-08,史蒂夫-科尔,"克莱-汤普森,(Klay Thompson)",11,G,金州勇士（Golden State Warriors）
1990-03-04,史蒂夫-科尔,"德雷蒙德-格林,(Draymond Green)",23,F,金州勇士（Golden State Warriors）
1984-01-28,史蒂夫-科尔,"安德烈-伊格达拉,(Andre Iguodala)",9,G-F,金州勇士（Golden State Warriors）
1985-09-11,史蒂夫-科尔,"肖恩-利文斯顿,(Shaun Livingston)",34,G,金州勇士（Golden State Warriors）
1992-12-29,埃里克-斯波尔斯特拉,"布里安特-韦伯,(Briante Weber)",4,G,迈阿密热火（Miami Heat）
1994-01-07,埃里克-斯波尔斯特拉,"贾内尔-斯托克斯,(Jarnell Stokes)",12,F,迈阿密热火（Miami Heat）
1997-02-15,埃里克-斯波尔斯特拉,"小德里克-琼斯,(Derrick Jones Jr.)",5,F-G,迈阿密热火（Miami Heat）
1991-07-29,埃里克-斯波尔斯特拉,"罗德尼-麦格鲁德,(Rodney McGruder)",17,G-F,迈阿密热火（Miami Heat）
1997-02-21,埃里克-斯波尔斯特拉,"马利克-纽曼,(Malik Newman)",14,G,迈阿密热火（Miami Heat）
1993-02-09,比利-多诺万,"KJ-麦克丹尼尔斯,(KJ McDaniels)",14,F,俄克拉荷马城雷霆（Oklahoma City Thunder）
1997-05-22,比利-多诺万,"泰勒-戴维斯,(Tyler Davis)",34,C,俄克拉荷马城雷霆（Oklahoma City Thunder）
1992-06-18,比利-多诺万,"理查德-萨洛蒙,(Richard Solomon)",5,C,俄克拉荷马城雷霆（Oklahoma City Thunder）
1992-01-26,比利-多诺万,"阿布德尔-加迪,(Abdul Gaddy)",25,G,俄克拉荷马城雷霆（Oklahoma City Thunder）
1994-01-31,比利-多诺万,"迪昂特-伯顿,(Deonte Burton)",30,G,俄克拉荷马城雷霆（Oklahoma City Thunder）
1999-01-18,特里-斯托茨,"小加里-特伦特,(Gary Trent Jr.)",9,G,波特兰开拓者（Portland Trail Blazers）
1996-07-11,特里-斯托茨,"卡梅伦-奥利弗,(Cameron Oliver)",23,F,波特兰开拓者（Portland Trail Blazers）
1995-02-10,汤姆-锡伯杜,"杰瑞-特雷尔,(Jared Terrell)",3,G,明尼苏达森林狼（Minnesota Timberwolves）
1990-02-06,汤姆-锡伯杜,"CJ-威廉姆斯,(C.J. Williams)",12,G,明尼苏达森林狼（Minnesota Timberwolves）
1993-10-28,肯尼-阿特金森,"特雷韦恩-格雷厄姆,(Treveon Graham)",21,F,布鲁克林篮网（Brooklyn Nets）
1992-04-27,肯尼-阿特金森,"米奇-克里克,(Mitch Creek)",55,F,布鲁克林篮网（Brooklyn Nets）
1996-04-09,肯尼-阿特金森,"乔丹-麦克劳克林,(Jordan McLaughlin)",0,G,布鲁克林篮网（Brooklyn Nets）
1995-11-05,肯尼-阿特金森,"西奥-平森,(Theo Pinson)",10,G,布鲁克林篮网（Brooklyn Nets）
1993-01-28,肯尼-阿特金森,"阿兰-威廉姆斯,(Alan Williams)",15,F,布鲁克林篮网（Brooklyn Nets）
1994-10-03,肯尼-阿特金森,"努尼-奥莫特,(Nuni Omot)",7,F,布鲁克林篮网（Brooklyn Nets）
1992-08-18,戴夫-乔尔格,"波格丹-波格丹诺维奇,(Bogdan Bogdanovic)",8,G,萨克拉门托国王（Sacramento Kings）
1989-02-24,戴夫-乔尔格,"科斯塔-库佛斯,(Kosta Koufos)",41,C,萨克拉门托国王（Sacramento Kings）
1999-03-14,戴夫-乔尔格,"马文-巴格利,(Marvin Bagley III)",35,F,萨克拉门托国王（Sacramento Kings）
1988-05-09,戴夫-乔尔格,"内马尼亚-别利察,(Nemanja Bjelica)",88,F,萨克拉门托国王（Sacramento Kings）
1997-12-20,戴夫-乔尔格,"达龙-福克斯,(De'Aaron Fox)",5,G,萨克拉门托国王（Sacramento Kings）
1990-08-13,史蒂夫-科尔,"德马库斯-考辛斯,(DeMarcus Cousins)",0,C,金州勇士（Golden State Warriors）
1987-03-02,史蒂夫-科尔,"约纳斯-杰雷布科,(Jonas Jerebko)",21,F,金州勇士（Golden State Warriors）
1997-06-18,史蒂夫-科尔,"雅各布-埃文斯,(Jacob Evans)",10,G,金州勇士（Golden State Warriors）
1996-02-06,史蒂夫-科尔,"凯文-卢尼,(Kevon Looney)",5,F,金州勇士（Golden State Warriors）
1993-03-23,史蒂夫-科尔,"奎因-库克,(Quinn Cook)",4,G,金州勇士（Golden State Warriors）
1988-05-06,伊戈尔-科科什科夫,"莱恩-安德森,(Ryan Anderson)",15,F,菲尼克斯太阳（Phoenix Suns）
1985-06-30,伊戈尔-科科什科夫,"特雷沃-阿里扎,(Trevor Ariza)",3,F,菲尼克斯太阳（Phoenix Suns）
1982-10-02,伊戈尔-科科什科夫,"泰森-钱德勒,(Tyson Chandler)",4,C,菲尼克斯太阳（Phoenix Suns）
1994-09-14,埃里克-斯波尔斯特拉,"马库斯-李,(Marcus Lee)",24,F,迈阿密热火（Miami Heat）
1996-08-14,埃里克-斯波尔斯特拉,"亚特-马滕,(Yante Maten)",71,F,迈阿密热火（Miami Heat）
1994-04-22,埃里克-斯波尔斯特拉,"邓肯-鲁宾逊,(Duncan Robinson)",55,F,迈阿密热火（Miami Heat）
1993-02-11,戴夫-乔尔格,"本-麦克勒摩,(Ben McLemore)",23,G,萨克拉门托国王（Sacramento Kings）
1993-08-18,戴夫-乔尔格,"威利-考利-斯坦,(Willie Cauley-Stein)",00,C,萨克拉门托国王（Sacramento Kings）
1993-12-17,戴夫-乔尔格,"巴迪-希尔德,(Buddy Hield)",24,G,萨克拉门托国王（Sacramento Kings）
1993-05-09,戴夫-乔尔格,"约吉-费雷尔,(Yogi Ferrell)",3,G,萨克拉门托国王（Sacramento Kings）
1995-03-28,戴夫-乔尔格,"贾斯廷-杰克逊,(Justin Jackson)",25,F,萨克拉门托国王（Sacramento Kings）
1998-04-22,戴夫-乔尔格,"哈里-贾尔斯,(Harry Giles III)",20,F-C,萨克拉门托国王（Sacramento Kings）
1993-06-07,史蒂夫-科尔,"丹纽尔-豪斯,(Danuel House)",12,G,金州勇士（Golden State Warriors）
1996-01-05,史蒂夫-科尔,"泰勒-尤利斯,(Tyler Ulis)",3,G,金州勇士（Golden State Warriors）
1995-01-07,史蒂夫-科尔,"乔丹-贝尔,(Jordan Bell)",2,F,金州勇士（Golden State Warriors）
1995-06-30,史蒂夫-科尔,"达米安-琼斯,(Damian Jones)",15,C,金州勇士（Golden State Warriors）
1992-09-17,史蒂夫-科尔,"阿方索-麦金尼,(Alfonzo McKinnie)",28,F,金州勇士（Golden State Warriors）
1996-02-01,史蒂夫-科尔,"马库斯-德里克森,(Marcus Derrickson)",32,F,金州勇士（Golden State Warriors）
1993-09-05,伊戈尔-科科什科夫,"TJ-沃伦,(TJ Warren)",12,F,菲尼克斯太阳（Phoenix Suns）
1988-03-25,伊戈尔-科科什科夫,"达雷尔-亚瑟,(Darrell Arthur)",00,F,菲尼克斯太阳（Phoenix Suns）
1998-07-23,伊戈尔-科科什科夫,"德安德烈-艾顿,(Deandre Ayton)",22,F,菲尼克斯太阳（Phoenix Suns）
1997-02-10,伊戈尔-科科什科夫,"约什-杰克逊,(Josh Jackson)",20,F,菲尼克斯太阳（Phoenix Suns）
1997-11-17,伊戈尔-科科什科夫,"德拉甘-本德尔,(Dragan Bender)",35,F,菲尼克斯太阳（Phoenix Suns）
1988-08-08,道格-里弗斯,"达尼罗-加里纳利,(Danilo Gallinari)",8,F,洛杉矶快船（Los Angeles Clippers）
1989-08-07,格雷格-波波维奇,"德马尔-德罗赞,(DeMar DeRozan)",10,G,圣安东尼奥马刺（San Antonio Spurs）
1985-07-19,格雷格-波波维奇,"拉马库斯-阿尔德里奇,(LaMarcus Aldridge)",12,F,圣安东尼奥马刺（San Antonio Spurs）
1980-07-06,格雷格-波波维奇,"保罗-加索尔,(Pau Gasol)",16,F-C,圣安东尼奥马刺（San Antonio Spurs）
1992-05-30,里克-卡莱尔,"哈里森-巴恩斯,(Harrison Barnes)",40,F,达拉斯独行侠（Dallas Mavericks）
1988-07-21,里克-卡莱尔,"德安德烈-乔丹,(DeAndre Jordan)",6,C,达拉斯独行侠（Dallas Mavericks）
1994-04-03,戴夫-乔尔格,"弗兰克-梅森,(Frank Mason)",10,G,萨克拉门托国王（Sacramento Kings）
1993-01-12,戴夫-乔尔格,"贾米尔-阿尔蒂斯,(Jamel Artis)",0,F,萨克拉门托国王（Sacramento Kings）
1996-03-18,戴夫-乔尔格,"斯卡尔-拉比西埃,(Skal Labissiere)",7,F,萨克拉门托国王（Sacramento Kings）
1970-01-01,戴夫-乔尔格,"卡姆-雷诺兹,(Cameron Reynolds)",13,G-F,萨克拉门托国王（Sacramento Kings）
1996-06-14,戴夫-乔尔格,"加比-文森特,(Gabe Vincent)",,G,萨克拉门托国王（Sacramento Kings）
1992-10-21,史蒂夫-科尔,"达米恩-李,(Damion Lee)",1,G,金州勇士（Golden State Warriors）
1995-08-03,史蒂夫-科尔,"肯德里克-努恩,(Kendrick Nunn)",25,G,金州勇士（Golden State Warriors）
1996-08-30,伊戈尔-科科什科夫,"米卡尔-布里奇斯,(Mikal Bridges)",25,F,菲尼克斯太阳（Phoenix Suns）
1991-07-15,伊戈尔-科科什科夫,"特洛伊-丹尼尔斯,(Troy Daniels)",30,G,菲尼克斯太阳（Phoenix Suns）
1996-10-30,伊戈尔-科科什科夫,"德文-布克,(Devin Booker)",1,G,菲尼克斯太阳（Phoenix Suns）
1991-05-21,伊戈尔-科科什科夫,"以赛亚-卡南,(Isaiah Canaan)",0,G,菲尼克斯太阳（Phoenix Suns）
1993-10-15,伊戈尔-科科什科夫,"里乔恩-霍姆斯,(Richaun Holmes)",21,F-C,菲尼克斯太阳（Phoenix Suns）
1992-07-15,道格-里弗斯,"托拜厄斯-哈里斯,(Tobias Harris)",34,F,洛杉矶快船（Los Angeles Clippers）
1984-02-17,道格-里弗斯,"马尔钦-戈塔特,(Marcin Gortat)",13,C,洛杉矶快船（Los Angeles Clippers）
1990-11-26,道格-里弗斯,"埃弗里-布拉德利,(Avery Bradley)",11,G,洛杉矶快船（Los Angeles Clippers）
1986-10-27,道格-里弗斯,"路易斯-威廉姆斯,(Lou Williams)",23,G,洛杉矶快船（Los Angeles Clippers）
1988-08-15,道格-里弗斯,"博班-马里亚诺维奇,(Boban Marjanovic)",51,C,洛杉矶快船（Los Angeles Clippers）
1988-08-11,格雷格-波波维奇,"帕蒂-米尔斯,(Patty Mills)",8,G,圣安东尼奥马刺（San Antonio Spurs）
1986-08-17,格雷格-波波维奇,"鲁迪-盖伊,(Rudy Gay)",22,F,圣安东尼奥马刺（San Antonio Spurs）
1992-11-12,格雷格-波波维奇,"戴维斯-贝尔坦斯,(Davis Bertans)",42,C-F,圣安东尼奥马刺（San Antonio Spurs）
1986-03-25,格雷格-波波维奇,"马科-贝里内利,(Marco Belinelli)",18,G-F,圣安东尼奥马刺（San Antonio Spurs）
1986-10-14,里克-卡莱尔,"韦斯利-马修斯,(Wesley Matthews)",23,G-F,达拉斯独行侠（Dallas Mavericks）
1991-07-20,里克-卡莱尔,"德怀特-鲍威尔,(Dwight Powell)",7,F-C,达拉斯独行侠（Dallas Mavericks）
1999-02-28,里克-卡莱尔,"卢卡-东契奇,(Luka Doncic)",77,G-F,达拉斯独行侠（Dallas Mavericks）
1978-06-19,里克-卡莱尔,"德克-诺维茨基,(Dirk Nowitzki)",41,F,达拉斯独行侠（Dallas Mavericks）
1997-11-25,里克-卡莱尔,"丹尼斯-史密斯,(Dennis Smith Jr.)",1,G,达拉斯独行侠（Dallas Mavericks）
1997-03-26,戴夫-乔尔格,"W. Gabriel,(Wenyen Gabriel)",32,F,萨克拉门托国王（Sacramento Kings）
1990-06-12,阿尔文-金特里,"朱-霍勒迪,(Jrue Holiday)",11,G,新奥尔良鹈鹕（New Orleans Pelicans）
1993-03-11,阿尔文-金特里,"安东尼-戴维斯,(Anthony Davis)",23,F-C,新奥尔良鹈鹕（New Orleans Pelicans）
1991-02-11,阿尔文-金特里,"尼古拉-米罗蒂奇,(Nikola Mirotic)",3,F,新奥尔良鹈鹕（New Orleans Pelicans）
1995-06-11,伊戈尔-科科什科夫,"达文-里德,(Davon Reed)",32,G,菲尼克斯太阳（Phoenix Suns）
1993-10-06,伊戈尔-科科什科夫,"沙奎尔-哈里森,(Shaquille Harrison)",10,G,菲尼克斯太阳（Phoenix Suns）
1997-10-23,伊戈尔-科科什科夫,"埃利-奥科博,(Elie Okobo)",2,G,菲尼克斯太阳（Phoenix Suns）
1998-05-28,伊戈尔-科科什科夫,"丹东尼-梅尔顿,(De'Anthony Melton)",14,G,菲尼克斯太阳（Phoenix Suns）
1994-01-15,伊戈尔-科科什科夫,"乔治-金,(George King)",8,F,菲尼克斯太阳（Phoenix Suns）
1987-03-19,道格-里弗斯,"米洛什-特奥多西奇,(Milos Teodosic)",4,G,洛杉矶快船（Los Angeles Clippers）
1987-07-11,道格-里弗斯,"韦斯利-约翰逊,(Wesley Johnson)",33,F,洛杉矶快船（Los Angeles Clippers）
1994-01-26,道格-里弗斯,"蒙特雷兹-哈勒尔,(Montrezl Harrell)",5,F-C,洛杉矶快船（Los Angeles Clippers）
1988-07-12,道格-里弗斯,"帕特里克-贝弗利,(Patrick Beverley)",21,G,洛杉矶快船（Los Angeles Clippers）
1986-09-09,道格-里弗斯,"卢克-理查德-巴莫特,(Luc Mbah a Moute)",12,F,洛杉矶快船（Los Angeles Clippers）
1995-10-15,格雷格-波波维奇,"雅各布-珀尔特尔,(Jakob Poeltl)",25,C,圣安东尼奥马刺（San Antonio Spurs）
1987-04-22,格雷格-波波维奇,"丹特-坎宁安,(Dante Cunningham)",33,F,圣安东尼奥马刺（San Antonio Spurs）
1998-12-14,格雷格-波波维奇,"朗尼-沃克,(Lonnie Walker IV)",1,G,圣安东尼奥马刺（San Antonio Spurs）
1988-03-10,格雷格-波波维奇,"昆西-庞德塞特,(Quincy Pondexter)",3,F,圣安东尼奥马刺（San Antonio Spurs）
1994-07-02,格雷格-波波维奇,"德里克-怀特,(Derrick White)",4,G,圣安东尼奥马刺（San Antonio Spurs）
1984-06-26,里克-卡莱尔,"何塞-巴里亚,(J.J. Barea)",5,G,达拉斯独行侠（Dallas Mavericks）
1983-02-27,里克-卡莱尔,"德文-哈里斯,(Devin Harris)",34,G,达拉斯独行侠（Dallas Mavericks）
1986-06-15,里克-卡莱尔,"萨拉赫-梅杰里,(Salah Mejri)",50,C,达拉斯独行侠（Dallas Mavericks）
1992-01-29,里克-卡莱尔,"马克西-克勒贝尔,(Maxi Kleber)",42,F,达拉斯独行侠（Dallas Mavericks）
1996-08-31,里克-卡莱尔,"杰伦-布伦森,(Jalen Brunson)",13,G,达拉斯独行侠（Dallas Mavericks）
1991-03-18,阿尔文-金特里,"所罗门-希尔,(Solomon Hill)",44,F,新奥尔良鹈鹕（New Orleans Pelicans）
1989-02-25,阿尔文-金特里,"伊托万-摩尔,(E'Twaun Moore)",55,G,新奥尔良鹈鹕（New Orleans Pelicans）
1994-11-29,阿尔文-金特里,"朱利叶斯-兰德尔,(Julius Randle)",30,F,新奥尔良鹈鹕（New Orleans Pelicans）
1988-05-06,阿尔文-金特里,"阿莱克西-阿金萨,(Alexis Ajinca)",42,C,新奥尔良鹈鹕（New Orleans Pelicans）
1987-10-11,JB-比克斯塔夫（临时帅）,"迈克-康利,(Mike Conley)",11,G,孟菲斯灰熊（Memphis Grizzlies）
1988-07-16,道格-里弗斯,"迈克-斯科特,(Mike Scott)",30,F,洛杉矶快船（Los Angeles Clippers）
1998-07-12,道格-里弗斯,"谢伊-吉尔杰斯-亚历山大,(Shai Gilgeous-Alexander)",2,G,洛杉矶快船（Los Angeles Clippers）
1997-02-22,道格-里弗斯,"杰罗姆-罗宾逊,(Jerome Robinson)",10,G,洛杉矶快船（Los Angeles Clippers）
1996-07-26,道格-里弗斯,"贾旺-埃文斯,(Jawun Evans)",1,G,洛杉矶快船（Los Angeles Clippers）
1994-11-15,道格-里弗斯,"辛达里厄斯-桑韦尔,(Sindarius Thornwell)",0,G,洛杉矶快船（Los Angeles Clippers）
1992-08-13,格雷格-波波维奇,"奥卡罗-怀特,(Okaro White)",17,F,圣安东尼奥马刺（San Antonio Spurs）
1993-07-23,格雷格-波波维奇,"布林-福布斯,(Bryn Forbes)",11,G,圣安东尼奥马刺（San Antonio Spurs）
1996-09-19,格雷格-波波维奇,"德章泰-默里,(Dejounte Murray)",5,G,圣安东尼奥马刺（San Antonio Spurs）
1993-09-16,格雷格-波波维奇,"杰朗-布洛瑟姆盖姆,(Jaron Blossomgame)",15,F,圣安东尼奥马刺（San Antonio Spurs）
1997-03-22,格雷格-波波维奇,"奇梅齐耶-梅图,(Chimezie Metu)",7,F,圣安东尼奥马刺（San Antonio Spurs）
1993-05-04,里克-卡莱尔,"多里安-芬尼-史密斯,(Dorian Finney-Smith)",10,F,达拉斯独行侠（Dallas Mavericks）
1994-06-01,里克-卡莱尔,"科迪 米勒-麦金太尔,(Codi Miller-McIntyre)",11,G,达拉斯独行侠（Dallas Mavericks）
1990-08-23,里克-卡莱尔,"瑞安-布罗科夫,(Ryan Broekhoff)",45,G-F,达拉斯独行侠（Dallas Mavericks）
1997-03-11,里克-卡莱尔,"雷-斯波尔丁,(Ray Spalding)",26,F,达拉斯独行侠（Dallas Mavericks）
1994-02-22,阿尔文-金特里,"埃尔弗里德-佩顿,(Elfrid Payton)",4,G,新奥尔良鹈鹕（New Orleans Pelicans）
1983-10-28,阿尔文-金特里,"贾莱特-杰克,(Jarrett Jack)",1,G,新奥尔良鹈鹕（New Orleans Pelicans）
1990-03-21,阿尔文-金特里,"达柳斯-米勒,(Darius Miller)",21,F,新奥尔良鹈鹕（New Orleans Pelicans）
1991-03-07,阿尔文-金特里,"伊恩-克拉克,(Ian Clark)",2,G,新奥尔良鹈鹕（New Orleans Pelicans）
1995-12-15,阿尔文-金特里,"贾利尔-奥卡福,(Jahlil Okafor)",8,C,新奥尔良鹈鹕（New Orleans Pelicans）
1985-01-29,JB-比克斯塔夫（临时帅）,"马克-加索尔,(Marc Gasol)",33,C,孟菲斯灰熊（Memphis Grizzlies）
1988-10-25,JB-比克斯塔夫（临时帅）,"钱德勒-帕森斯,(Chandler Parsons)",25,F,孟菲斯灰熊（Memphis Grizzlies）
1993-09-20,JB-比克斯塔夫（临时帅）,"凯尔-安德森,(Kyle Anderson)",1,F,孟菲斯灰熊（Memphis Grizzlies）
1986-05-08,JB-比克斯塔夫（临时帅）,"加莱特-坦普尔,(Garrett Temple)",17,G-F,孟菲斯灰熊（Memphis Grizzlies）
1990-06-21,JB-比克斯塔夫（临时帅）,"杰迈克尔-格林,(JaMychal Green)",0,F,孟菲斯灰熊（Memphis Grizzlies）
1994-06-10,道格-里弗斯,"蒂龙-华莱士,(Tyrone Wallace)",9,G,洛杉矶快船（Los Angeles Clippers）
1995-05-04,道格-里弗斯,"乔纳森-莫特利,(Johnathan Motley)",15,F,洛杉矶快船（Los Angeles Clippers）
1996-03-23,道格-里弗斯,"德赛-罗德里格兹,(Desi Rodriguez)",20,F,洛杉矶快船（Los Angeles Clippers）
1994-11-20,道格-里弗斯,"安吉尔-德尔加多,(Angel Delgado)",31,C,洛杉矶快船（Los Angeles Clippers）
1991-12-19,格雷格-波波维奇,"乔什-休斯蒂斯,(Josh Huestis)",,F,圣安东尼奥马刺（San Antonio Spurs）
1997-02-01,格雷格-波波维奇,"德鲁-尤班克斯,(Drew Eubanks)",14,F,圣安东尼奥马刺（San Antonio Spurs）
1992-12-22,格雷格-波波维奇,"尼克-约翰逊,(Nick Johnson)",24,G,圣安东尼奥马刺（San Antonio Spurs）
1993-08-20,里克-卡莱尔,"丁彦雨航,(Yanyuhang Ding)",,G-F,达拉斯独行侠（Dallas Mavericks）
1995-11-29,里克-卡莱尔,"达里尔-梅肯,(Daryl Macon)",3,G,达拉斯独行侠（Dallas Mavericks）
1993-05-27,里克-卡莱尔,"杰伦-琼斯,(Jalen Jones)",21,F,达拉斯独行侠（Dallas Mavericks）
1997-11-20,里克-卡莱尔,"科斯塔斯-阿德托昆博,(Kostas Antetokounmpo)",37,F,达拉斯独行侠（Dallas Mavericks）
1996-09-13,阿尔文-金特里,"谢赫-迪亚洛,(Cheick Diallo)",13,F,新奥尔良鹈鹕（New Orleans Pelicans）
1994-12-30,阿尔文-金特里,"特洛伊-威廉姆斯,(Troy Williams)",0,G-F,新奥尔良鹈鹕（New Orleans Pelicans）
1998-05-04,阿尔文-金特里,"弗兰克-杰克逊,(Frank Jackson)",15,G,新奥尔良鹈鹕（New Orleans Pelicans）
1994-11-04,阿尔文-金特里,"特里文-布罗伊特,(Trevon Bluiett)",5,G,新奥尔良鹈鹕（New Orleans Pelicans）
1991-01-11,阿尔文-金特里,"贾伦-格林,(Garlon Green)",33,F,新奥尔良鹈鹕（New Orleans Pelicans）
1999-09-15,JB-比克斯塔夫（临时帅）,"小贾伦-杰克逊,(Jaren Jackson Jr.)",13,F,孟菲斯灰熊（Memphis Grizzlies）
1988-06-22,JB-比克斯塔夫（临时帅）,"欧米-卡斯比,(Omri Casspi)",18,F,孟菲斯灰熊（Memphis Grizzlies）
1990-04-22,JB-比克斯塔夫（临时帅）,"谢尔文-麦克,(Shelvin Mack)",6,G,孟菲斯灰熊（Memphis Grizzlies）
1989-01-26,JB-比克斯塔夫（临时帅）,"马尚-布鲁克斯,(MarShon Brooks)",8,G,孟菲斯灰熊（Memphis Grizzlies）
1994-09-30,JB-比克斯塔夫（临时帅）,"韦恩-塞尔登,(Wayne Selden)",7,G-F,孟菲斯灰熊（Memphis Grizzlies）
1994-12-02,阿尔文-金特里,"肯里奇-威廉姆斯,(Kenrich Williams)",34,G-F,新奥尔良鹈鹕（New Orleans Pelicans）
1998-06-11,阿尔文-金特里,"布兰登-麦考伊,(Brandon McCoy)",12,C-F,新奥尔良鹈鹕（New Orleans Pelicans）
1991-01-03,阿尔文-金特里,"达柳斯-莫里斯,(Darius Morris)",9,G,新奥尔良鹈鹕（New Orleans Pelicans）
1996-01-22,JB-比克斯塔夫（临时帅）,"狄龙-布鲁克斯,(Dillon Brooks)",24,G-F,孟菲斯灰熊（Memphis Grizzlies）
1997-02-04,JB-比克斯塔夫（临时帅）,"伊万-拉布,(Ivan Rabb)",10,F,孟菲斯灰熊（Memphis Grizzlies）
1994-10-28,JB-比克斯塔夫（临时帅）,"安德鲁-哈里森,(Andrew Harrison)",5,G,孟菲斯灰熊（Memphis Grizzlies）
1995-10-02,JB-比克斯塔夫（临时帅）,"布兰登-古德温,(Brandon Goodwin)",2,G,孟菲斯灰熊（Memphis Grizzlies）
1994-10-22,JB-比克斯塔夫（临时帅）,"马克尔-克劳福德,(Markel Crawford)",4,G,孟菲斯灰熊（Memphis Grizzlies）
1995-09-14,JB-比克斯塔夫（临时帅）,"杰文-卡特,(Jevon Carter)",3,G,孟菲斯灰熊（Memphis Grizzlies）
1997-01-21,JB-比克斯塔夫（临时帅）,"多勒尔-穆尔,(Doral Moore)",14,C,孟菲斯灰熊（Memphis Grizzlies）
1997-11-13,JB-比克斯塔夫（临时帅）,"伊斯梅利亚-凯恩,(Ismaila Kane)",15,C,孟菲斯灰熊（Memphis Grizzlies）
1994-10-13,JB-比克斯塔夫（临时帅）,"渡边雄太,(Yuta Watanabe)",12,G-F,孟菲斯灰熊（Memphis Grizzlies）
1984-12-30,卢克-沃顿,"勒布朗-詹姆斯,(LeBron James)",23,F-G,洛杉矶湖人（Los Angeles Lakers）
1993-02-18,卢克-沃顿,"肯塔维厄斯-考德威尔-波普,(Kentavious Caldwell-Pope)",1,G,洛杉矶湖人（Los Angeles Lakers）
1986-02-22,卢克-沃顿,"拉简-隆多,(Rajon Rondo)",9,G,洛杉矶湖人（Los Angeles Lakers）
1997-10-27,卢克-沃顿,"朗佐-鲍尔,(Lonzo Ball)",2,G,洛杉矶湖人（Los Angeles Lakers）
1997-09-02,卢克-沃顿,"布兰登-英格拉姆,(Brandon Ingram)",14,F,洛杉矶湖人（Los Angeles Lakers）
1990-09-05,卢克-沃顿,"兰斯-史蒂芬森,(Lance Stephenson)",6,G,洛杉矶湖人（Los Angeles Lakers）
1989-01-09,卢克-沃顿,"迈克尔-比斯利,(Michael Beasley)",11,F,洛杉矶湖人（Los Angeles Lakers）
1988-01-19,卢克-沃顿,"贾维尔-麦基,(JaVale McGee)",7,C,洛杉矶湖人（Los Angeles Lakers）
1997-04-26,卢克-沃顿,"莫里茨-瓦格纳,(Moritz Wagner)",15,F-G,洛杉矶湖人（Los Angeles Lakers）
1995-07-24,卢克-沃顿,"凯尔-库兹马,(Kyle Kuzma)",0,F,洛杉矶湖人（Los Angeles Lakers）
